model,quantile,param,summary_statistic,Cramer-von Mises Distance,Frechet Distance,Hausdorff Distance,Wasserstein Distance
0.025_noise,5%,cx,Mean,0.09901041668342915,0.4685085622534171,0.4789580657179075,0.5378310451160914
0.025_noise,5%,cx,Median,0.09681099239483401,0.4669050718170296,0.47734383223017696,0.5377620997973698
0.025_noise,5%,cx,StDev,0.058663660912741104,0.06385246286348084,0.06505083086788638,0.06681440082135559
0.025_noise,5%,cx,Lower Bound,0.005004524377071589,0.3541753229028252,0.3630813298510943,0.42044920969480193
0.025_noise,5%,cx,Upper Bound,0.21662134404982603,0.5884290430573361,0.6008547799062421,0.6590091404431564
0.025_noise,5%,cx,RMSE,0.40318924352553254,0.03309803216810733,0.0226610741296205,0.03776508382551129
0.025_noise,5%,cy,Mean,0.15975910033750076,0.4945129065035107,0.47339166000681115,0.5379466564951737
0.025_noise,5%,cy,Median,0.15903000547185994,0.492447517201153,0.47237999815594206,0.5379745817632018
0.025_noise,5%,cy,StDev,0.08823735569989898,0.07089456077563724,0.06997929325920078,0.06479926482458898
0.025_noise,5%,cy,Lower Bound,0.00896949033302823,0.3721402679195529,0.35113000192279,0.4240230155587359
0.025_noise,5%,cy,Upper Bound,0.315378736437884,0.6274871121411149,0.6032987284559267,0.6557278637565438
0.025_noise,5%,cy,RMSE,0.34097070719838574,0.007568804189632664,0.027624204102486134,0.037977688020701963
0.025_noise,5%,s,Mean,0.0005103671651885615,0.0004956584402085346,0.0004933150165285606,0.00047663423030259777
0.025_noise,5%,s,Median,0.000509459886662915,0.0004939511080927516,0.0004903592473650968,0.0004667816065789609
0.025_noise,5%,s,StDev,0.0002657062414181467,0.0002866928525002966,0.00028591673214823027,0.00028307990968575743
0.025_noise,5%,s,Lower Bound,4.2965997982645585e-05,2.510832490362275e-05,2.496438378158677e-05,2.3490822495600677e-05
0.025_noise,5%,s,Upper Bound,0.0009676515741346911,0.0009734397026587411,0.0009727726998049083,0.0009682824341388487
0.025_noise,5%,s,RMSE,0.0004594638918959859,0.0004439555301184305,0.00044036289775789073,0.0004167864423740388
0.025_noise,1%,cx,Mean,0.05604251732602779,0.4694594272523909,0.4811130166907887,0.512591158801131
0.025_noise,1%,cx,Median,0.0511379937026039,0.46800096875231906,0.4790685449581332,0.5106501244593299
0.025_noise,1%,cx,StDev,0.038439658026200904,0.03602291724765769,0.03368476669655721,0.03538293957512612
0.025_noise,1%,cx,Lower Bound,0.002114471153304265,0.4066356138099556,0.4238428487325402,0.45330584943437197
0.025_noise,1%,cx,Upper Bound,0.1389374319335591,0.5394963445531316,0.5479939532249309,0.5823124758254415
0.025_noise,1%,cx,RMSE,0.4488625524092473,0.0320033976454232,0.0209368869248961,0.010665867993484424
0.025_noise,1%,cy,Mean,0.17149643749584265,0.4877749046802799,0.46637064803847195,0.5164510723847923
0.025_noise,1%,cy,Median,0.17253757313400495,0.4857235063592671,0.4638025383975029,0.5149904153055602
0.025_noise,1%,cy,StDev,0.04608793591952733,0.03653771646659461,0.03657059397454981,0.03414887242660444
0.025_noise,1%,cy,Lower Bound,0.06610728292462181,0.4257486986450227,0.40536693491897213,0.4583854954008206
0.025_noise,1%,cy,Upper Bound,0.2543782334780123,0.5586118327283393,0.5390311310339736,0.581638543251859
0.025_noise,1%,cy,RMSE,0.32746300179189103,0.01428501343096723,0.03620212579424963,0.015002177536501637
0.025_noise,1%,s,Mean,0.0005235954923360171,0.0003836303778760071,0.0004169912519863563,0.000346393047472017
0.025_noise,1%,s,Median,0.0005087898213267358,0.0003705479992203641,0.00039467669266620114,0.00032252319055877483
