model,quantile,param,summary_statistic,Cramer-von Mises Distance,Energy Distance,Kullback-Leibler Divergence,Maximum Mean Discrepancy,Wasserstein Distance
nlinear_no_smoothing,5%,a,Mean,7.401199035990997,1.7520774586379857,3.538996918499628,4.340173931487962,0.10162819824655574
nlinear_no_smoothing,5%,a,Median,8.0,1.0,5.0,4.0,0.0
nlinear_no_smoothing,5%,a,StDev,1.8030899213974427,0.9055389209986369,4.13157495475119,1.4937346478159848,0.43486904268283244
nlinear_no_smoothing,5%,a,Lower Bound,1.0,1.0,-8.0,2.0,-1.0
nlinear_no_smoothing,5%,a,Upper Bound,9.0,4.0,8.0,7.0,1.0
nlinear_no_smoothing,5%,a,RMSE,7.0,0.0,4.0,3.0,1.0
nlinear_no_smoothing,5%,b,Mean,-7.302129185173382,3.8013375589549074,4.588035277866327,1.8704263442570792,-1.5455557543587604
nlinear_no_smoothing,5%,b,Median,-8.0,4.0,5.0,2.0,0.0
nlinear_no_smoothing,5%,b,StDev,2.607980364736112,2.547663808141931,2.5519949083303555,0.8085306776015174,4.563564825201518
nlinear_no_smoothing,5%,b,Lower Bound,-10.0,1.0,0.0,1.0,-10.0
nlinear_no_smoothing,5%,b,Upper Bound,1.0,9.0,9.0,3.0,5.0
nlinear_no_smoothing,5%,b,RMSE,9.0,3.0,4.0,1.0,1.0
nlinear_no_smoothing,1%,a,Mean,8.209442128887463,1.9978760122129298,3.3333333333333335,3.009726603575184,0.398227287116176
nlinear_no_smoothing,1%,a,Median,8.0,2.0,1.0,3.0,0.0
nlinear_no_smoothing,1%,a,StDev,0.745066477278402,0.8160059190486278,3.2998316455372216,0.8193313865880496,0.4895327516236955
nlinear_no_smoothing,1%,a,Lower Bound,7.0,1.0,1.0,2.0,0.0
nlinear_no_smoothing,1%,a,Upper Bound,9.0,3.0,8.0,4.0,1.0
nlinear_no_smoothing,1%,a,RMSE,7.0,1.0,0.0,2.0,1.0
nlinear_no_smoothing,1%,b,Mean,-7.1744950304584805,1.0,1.3316198761038618,1.0,-4.817901234567901
nlinear_no_smoothing,1%,b,Median,-7.0,1.0,1.0,1.0,-8.0
nlinear_no_smoothing,1%,b,StDev,1.7157570002469558,0.0,1.2483622798166394,0.0,5.1883333244920955
nlinear_no_smoothing,1%,b,Lower Bound,-10.0,1.0,0.0,1.0,-10.0
nlinear_no_smoothing,1%,b,Upper Bound,-5.0,1.0,3.0,1.0,2.0
nlinear_no_smoothing,1%,b,RMSE,8.0,0.0,0.0,0.0,9.0
nlinear_no_smoothing,0.1%,a,Mean,7.0,2.0,1.0,2.0,1.0
nlinear_no_smoothing,0.1%,a,Median,7.0,2.0,1.0,2.0,1.0
nlinear_no_smoothing,0.1%,a,StDev,0.0,0.0,0.0,0.0,0.0
nlinear_no_smoothing,0.1%,a,Lower Bound,7.0,2.0,1.0,2.0,1.0
nlinear_no_smoothing,0.1%,a,Upper Bound,7.0,2.0,1.0,2.0,1.0
nlinear_no_smoothing,0.1%,a,RMSE,6.0,1.0,0.0,1.0,0.0
nlinear_no_smoothing,0.1%,b,Mean,-10.0,1.0,1.0,1.0,1.0
nlinear_no_smoothing,0.1%,b,Median,-10.0,1.0,1.0,1.0,1.0
nlinear_no_smoothing,0.1%,b,StDev,0.0,0.0,0.0,0.0,0.0
nlinear_no_smoothing,0.1%,b,Lower Bound,-10.0,1.0,1.0,1.0,1.0
nlinear_no_smoothing,0.1%,b,Upper Bound,-10.0,1.0,1.0,1.0,1.0
nlinear_no_smoothing,0.1%,b,RMSE,11.0,0.0,0.0,0.0,0.0
