model,quantile,param,summary_statistic,Energy Distance,Wasserstein Distance
n0.5_no_smoothing,5%,a,Mean,1.331733962091393,0.0263463492263692
n0.5_no_smoothing,5%,a,Median,1.3748720566915793,-0.0942519173234162
n0.5_no_smoothing,5%,a,Lower Bound,0.1446680988939555,-0.7480662643307094
n0.5_no_smoothing,5%,a,Upper Bound,2.7082411529509685,1.1831898297492773
n0.5_no_smoothing,5%,b,Mean,3.860598058887013,0.00037627349852741075
n0.5_no_smoothing,5%,b,Median,3.605502339694926,1.8396424390256982
n0.5_no_smoothing,5%,b,Lower Bound,0.5413351575419783,-9.786327812270223
n0.5_no_smoothing,5%,b,Upper Bound,9.609701845042867,5.727538263969264
n0.5_no_smoothing,1%,a,Mean,1.2730700355048101,0.47591710000563003
n0.5_no_smoothing,1%,a,Median,1.1705330351001644,0.29798407327933685
n0.5_no_smoothing,1%,a,Lower Bound,0.5887443032989119,0.09257139056725512
n0.5_no_smoothing,1%,a,Upper Bound,2.037772410203484,1.1831898297492773
n0.5_no_smoothing,1%,b,Mean,1.9290728952948455,0.8285304804687839
n0.5_no_smoothing,1%,b,Median,1.6239430798834846,1.8995943153276418
n0.5_no_smoothing,1%,b,Lower Bound,0.5413351575419783,-7.500175395353507
n0.5_no_smoothing,1%,b,Upper Bound,4.69360237014925,3.372139709571227
n0.5_no_smoothing,0.1%,a,Mean,0.5871112269707446,0.6198579153932737
n0.5_no_smoothing,0.1%,a,Median,0.5871112269707446,0.6198579153932737
n0.5_no_smoothing,0.1%,a,Lower Bound,0.5871112269707446,0.6198579153932737
n0.5_no_smoothing,0.1%,a,Upper Bound,0.5871112269707446,0.6198579153932737
n0.5_no_smoothing,0.1%,b,Mean,0.580008272046113,2.257580174512391
n0.5_no_smoothing,0.1%,b,Median,0.580008272046113,2.257580174512391
n0.5_no_smoothing,0.1%,b,Lower Bound,0.580008272046113,2.257580174512391
n0.5_no_smoothing,0.1%,b,Upper Bound,0.580008272046113,2.257580174512391
n0.5_smoothing,5%,a,Mean,1.3416948100258674,0.08124016436240006
n0.5_smoothing,5%,a,Median,1.3748720566915793,-0.06555082310359328
n0.5_smoothing,5%,a,Lower Bound,0.1446680988939555,-0.5258069167188866
n0.5_smoothing,5%,a,Upper Bound,2.7082411529509685,1.1146728805978847
n0.5_smoothing,5%,b,Mean,3.636941626846389,0.26837722292077826
n0.5_smoothing,5%,b,Median,3.3241376768831046,1.8948222140870115
n0.5_smoothing,5%,b,Lower Bound,0.0719867240083151,-9.786327812270223
n0.5_smoothing,5%,b,Upper Bound,9.609701845042867,6.7585239870840095
n0.5_smoothing,1%,a,Mean,1.105907179459471,0.5568790339105227
n0.5_smoothing,1%,a,Median,1.0745255687597943,0.48277339503784766
n0.5_smoothing,1%,a,Lower Bound,0.5887443032989119,0.09257139056725512
n0.5_smoothing,1%,a,Upper Bound,1.9623990312361375,1.1831898297492773
n0.5_smoothing,1%,b,Mean,1.8523853110670765,0.9422906437403624
n0.5_smoothing,1%,b,Median,1.7536811999405877,1.8995943153276418
n0.5_smoothing,1%,b,Lower Bound,0.5413351575419783,-7.500175395353507
n0.5_smoothing,1%,b,Upper Bound,3.6574422665006106,3.6574422665006106
n0.5_smoothing,0.1%,a,Mean,0.5871112269707446,0.6198579153932737
n0.5_smoothing,0.1%,a,Median,0.5871112269707446,0.6198579153932737
